Marca temporal,Ciudad , Colegio,Grado,Edad,Género ,Grupo_familiar,Zona_Vivienda,Grupo_Social,8  Empujando_intencional, 9. Halado_cabello_agredido,10 Agredido_con_golpes ,11 Dañado_objetos ,12. ¿Lanzan_objetos? ,13. ¿Insultos_ofensas?,14 ¿Víctima_chantaje?,15 ¿Avergonzado_público?,16 ¿Amenazas? ,17 ¿Víctima_bromas_pesadas?,18 ¿Frases excluyentes?,19 ¿Burlas_por_aspecto_físico_o_ condiciones_ particulares? ,20 ¿Mensajes_contenido_ofensivo_desagradable?,"21. ¿Insultos, groserías y palabras desagradables a través de redes sociales? ",22. ¿Ha recibido fotos y/o videos desagradables o incómodos sobre usted u otras personas a través de las redes sociales?,23. ¿Ha recibido chantaje o amenazas por fotos o videos incómodos donde usted aparezca?
8/28/2023 7:25:52,Tunja,ENSLAP,9-01,De 14-17 años,Femenino,Madre y Padre,Rural,Ninguna,Una vez al mes,Una vez al mes,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Nunca
8/28/2023 7:28:45,Tunja,ENSLAP,9-01,De 14-17 años,Femenino,"Madre, Tíos , abuelos o primos",Rural,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
8/28/2023 7:31:00,Tunja,ENSLAP,9-01,De 14-17 años,Femenino,"Madre y Padre, Hermanos",Urbano,Ninguna,Una vez al mes,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes
8/28/2023 7:33:54,Tunja,ENSLAP,9-01,De 14-17 años,Prefiero no decirlo,"Madre y Padre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Una vez al mes,Nunca,Una vez al mes,Nunca,Nunca,Nunca,Nunca
8/28/2023 7:36:22,Tunja,ENSLAP,9-01,De 14-17 años,Femenino,"Madre y Padre, Hermanos, Tíos , abuelos o primos, Otros",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Nunca
8/28/2023 7:37:51,Tunja,ENSLAP,9-01,De 14-17 años,Femenino,Madre,Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
8/28/2023 7:39:17,Tunja,ENSLAP,9-01,De 14-17 años,Femenino,"Padre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
8/28/2023 7:40:31,Tunja,ENSLAP,9-01,De 14-17 años,Femenino,Madre,Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
8/28/2023 7:42:16,Tunja,ENSLAP,9-01,De 14-17 años,Femenino,"Madre y Padre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Nunca
8/28/2023 8:35:59,Tunja,ENSLAP,9-01,De 11-13 años,Femenino,"Madre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
